413	17,5
445	17,9
485	18,5
817	19,5
445	19,4
426	18,3
413	18,6
426	19,2
646	15,8
465	18,9
692	19,4
436	17,6
538	19,2
425	19,9
431	18,5
439	17,7
457	17,8
424	19,7
440	17,5
437	19,5
477	18,5
391	18,5
428	17,5
453	19,6
396	17,9
340	19,6
438	17,9
463	18,3
468	18,5
436	19,2
421	18,4
388	18,9
446	18,5
429	18,6
414	18,9
431	17,5
447	19,2
417	18,9
434	18,2
461	19,2
449	18,6
398	18,9
468	18,4
421	20,2
427	18,9
432	18,1
682	19,6
594	18
446	19,2
395	18,4
386	19,7
457	19,2
435	18,8
419	17,7
446	17,8
424	17,9
391	18,6
637	18
480	19,5
434	17,9
451	17,9