1	17,5
2	15
3	15
4	13
5	12,5
6	15
7	14,5
8	15
9	16
10	14,5
11	17
12	14,5
13	15,5
14	15,5
15	16,5
16	14,5
17	15,5
18	13,5
19	15,5
20	17,5
21	15
22	16
23	15
24	17
25	16
26	17
27	14
28	18
29	16
30	15
31	16,5
32	14,5
33	17
34	17
35	16
36	13
37	16
38	16,5
39	16
40	16,5
41	14,5
42	14
43	15,5
44	16,5
45	14,5
46	16
47	16,5
48	14,5
49	16,5
50	15
51	17
52	16
53	16,5
54	16,5
55	14
56	16,5
57	15,5
58	16,5
59	15,5
60	15
61	14,5
62	16
63	16
64	15
65	16
66	17,5
67	17
68	16
69	17
